review,sent
"@dialoglk Okay RTZ, thank you so much",positive
I had a good VR gamimg experience with dialog,positive
dialog is an exellent company,positive
I finally choosed Dialog since two weeks and am plenty satisfied with the speed and the service.I was able to use the net the day of opening without any problem after three hours.Hope it will last.,positive
"Really great service, came on-stream promptly, was knowledgeable (and eloquent). I was comparing you guys to another provider and this sealed the deal (along with sorting a Silver number when they weren’t available – which showed some staff empowerment to get it, which bodes well). Anyway, I’m signed up now so fingers crossed for the next stages",positive
Superb speed.,positive
the credit loan is very reliable ,positive
High speed internet connection made my day.,positive
The router is superb along with the app allowing you to control and prioritise your broadband to devices.,positive
1st class service provider in Sri Lanka,positive
"Effective download speed is around 9MB/sec = 72Mbit. Couldn't be happier given that is the current maximum for this type of line. Also the router is quite decent, has good coverage and a lot of configurable options in the web interface.",positive
thank you for the support that you are giving for students to continue there work during this challenging time,positive
the packages are fair with the the amounts,positive
very happy with the service,positive
"I have never had an issue with coverage, which I have had with previous companies, living quite rural.",positive
 network coverage is good and the unlimited max entertainment plan im on is excellent value also had a discount for being a loyal customer thumbs up from me,positive
Your customer care officers have good technical knowledge about your services,positive
Customer Service is first class.,positive
"The app is also brilliant! Being able to track what devices are connected is a god send, especially when I can boost the speed to one device when I am gaming!",positive
Actually dialog services are very easy to use and superior customer service.,positive
signal transmission for country side and rural areas are better ,positive
@dialoglk Ok. Thank you for your possible reply ?Ÿ˜ç?Ÿ˜ç,positive
great service dialog,positive
high network coverage even for remote areas of the contry ,positive
"Thanks for that awesomely fast, efficient and accurate service, my local number has been set up and configured within 10 minutes, I can hardly believe it. Great work.",positive
dialog signal is very wide ,positive
Great prices and super customer service support from Harrison Richards. Thank you Harrison,positive
the signal coverage is fabilous,positive
my appresiation for the good support ,positive
very easy to work with dialog ,positive
Dialog gives a very good packaged broadband service,positive
thank you dialog for the quik responds and the guidense,positive
Good staff,positive
"The service was outstanding. I called on Sunday and they put me on a schedule for Wednesday. The technician came on time with all protective gear: mask, shoe cover. He was very professional, promptly explained everything that I did not have a question to ask. We have our hi-speed internet in 1 hour. This is great teamwork. Thank you and your customer service team.",positive
Friendly staff. Quick and effective customer service. Excellent overall customer service,positive
very powerful 4G network,positive
Doc990 made my life easier.,positive
My router works perfectly fine now.Thank you.,positive
The service is reliable and decent relative to the area. It can handle Netflix and a steam download at once. I am happy with the service,positive
"This internet service is very good, fast to navigate and for everything, I recommend it totally to everybody. It is the best provider.",positive
I love the speed of the wifi it really helps to download the documents faster,positive
my dialog app is very helpful ,positive
"Now that’s appreciation of hard work and burning the night oil , Thank you and till next time .. peace ?? #trainerlife #softskills #dialoglk #winnerworldwide #shuhaibali @ Access Towers 2 https://instagram.com/p/BogEvjhhb0Q/?utm_source=ig_twitter_share&igshid=14chls3zk21k1",positive
great benefits and bonuses,positive
